Tourist_ID,Reservation_ID,passport_number,name,email,phone-number,credit_card,Age,workclass,marital-status,occupation,education,street_address,zipcode,gender,Modes_of_Travel,Combined_Date,Year,Month,Income_USD,arrivals_by_region,Hobby,payment_preferences,Cuisine,Preferred_Travel_Seasons,Frequency_of_Travel,package_types,package_cost,package_price,profit,Transportation_Mode,Event_Type,Room_Preferences,Hotel_Type,Location,Total_Spendings,Subscribed_to_Loyalty_Program,Visited_attraction,Visitor_thoughts,Travel_type,Review,cluster,Num_of_Visits
1001,1,HHXRD9D90,Ernest Barnes,Ernest.Barnes31@outlook.com,669-792-1661,************4322,25,Private,Never-married,Machine-op-inspct,11th,,35430,Male,Air,2020-01-20,2020,Jan,<=50K,Africa,Swimming,PayPal,Japanese,Autumn,Rare,Standard,700,1000,300,Metro,Other,Double,Budget,Al Khor,8233,True,Pearl,A must-visit spot for anyone looking to add a touch of luxury to their travels., Solo,"You stroll along the mesmerizing marina, and there's this elegant blend of modern architecture and traditional vibes that just hits you. It's like they took a bit of tradition, a dash of sophistication, and sprinkled it all over this man-made wonder. You can be sipping coffee at a chic cafÃ© one moment, and the next, you're exploring the vibrant nightlife. It's a place where time just seems to slow down in the best possible way.",,6
1002,2,WLS8HDNPC,Andrea Baker,Andrea_Baker94@aol.com,858-637-6955,************9157,38,Private,Married-civ-spouse,Farming-fishing,HS-grad,,87887,Male,Air,2020-01-22,2020,Jan,<=50K,Africa,Cycling,Credit Card,Indian,Winter,Frequent,Basic,300,500,200,,Concert,Single,Budget,Doha,24264,True,Pearl,Stay in hotel, Solo,The rooms were very neat and clean The views from the hotel was outstandingSeeing the sea from the room was very peaceful,,2
1003,3,INZ9YKCVL,Rebecca Parker,Rebecca_Parker@comcast.net,652-885-2745,************3734,28,Local-gov,Married-civ-spouse,Protective-serv,,3249 Hubbard Ranch Suite 288,84393,Male,Air,2020-01-12,2020,Jan,>50K,Africa,Playing musical instruments,Bank Transfer,Other,Winter,Occasional,Standard,700,1000,300,Metro,Festival,Double,Luxury,Al Rayyan,17584,False,Pearl,Amazing and comfortable stay, Family,Nice place to go to amazing views good restaurants and overall enjoyable experience at little Venice and Porto Arabis,,4
1004,4,A0VBK79WA,Laura Murray,Laura_M@gmail.com,364-656-8427,************5677,44,Private,Married-civ-spouse,Machine-op-inspct,Some-college,751 Patricia Garden,69130,Male,Air,2020-01-05,2020,Jan,>50K,Africa,Painting,Credit Card,Mexican,Winter,Rare,Basic,300,500,200,Bus,Doha Tour,Double,Budget,Umm Salal Mohammed,9209,False,Pearl,A Real Pearl, Family,The Pearl is a great place to stroll around especially during the sunset. Great buildings and marina around it as well as restaurants too. I would recommend coming here before sunset.,,6
1005,5,CXADDEOGB,Linda Hines,LHines@verizon.com,713-226-5883,************5498,18,,Never-married,,Some-college,3171 Robert Pike,95217,Female,Air,2020-01-27,2020,Jan,<=50K,Africa,Hiking,Credit Card,Italian,Spring,Rare,Basic,300,500,200,Car,Festival,Suite,Budget,Al Daayen,21903,True,Pearl,Luxury and Nature, Solo,"The Pearl-Qatar is a really well-planned place with fancy buildings, nice homes, and a beautiful spot by the water. The island is also a shopping and dining haven. Love The Porto Arabia vibes. Really enjoyed my stroll there. It was my first time here, and I'm amazed by Qatar's world class developments. Definitely worth the visit!",,5
1006,6,YWC6J3OS0,Jasmine Fletcher,JFletcher43@xfinity.com,,************9263,34,Private,Never-married,Other-service,10th,590 Hodge Union,20238,Male,Air,2020-01-01,2020,Jan,<=50K,Africa,Swimming,Bank Transfer,Indian,Winter,Frequent,Premium,2500,3100,600,Bus,Doha Expo,Double,Budget,Al Rayyan,15110,True,Pearl,A Bit of Europe in the Middle East, Couples,"What a surprise to find a European village in Qatar. The Pearl is a manmade island featuring several residential and commercial districts. Unlike Europe,  The Pearl is clean and safe. This is an absolutely delightful place.",,0
1007,7,7OSYF0A07,Dylan Rangel,Rangel.Dylan@comcast.net,420-332-5209,************6994,29,,Never-married,,HS-grad,4765 Williamson Squares Suite 409,42726,Male,Air,2020-01-04,2020,Jan,<=50K,Africa,Cooking,Bank Transfer,Chinese,Autumn,Frequent,Premium,2500,3100,600,Bus,Doha Tour,Single,Budget,Madinat ash Shamal,7689,False,Pearl,Beautiful but Quiet, Friends,"Gorgeous architecture and plenty of photo opportunities, I only visited in the evening time but it's still not fully completed.  There are a lot of activates for the whole family to enjoy and parking is OK too.  I look forward to attending again in the daytime.",,3
1008,8,0GWBL7XNZ,William Velez,Velez_William@mail.com,,************8729,63,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,,,94648,Male,Air,2020-01-07,2020,Jan,>50K,Africa,Photography,Bank Transfer,Thai,Winter,Frequent,Basic,300,500,200,Car,Doha Tour,Double,Mid-Range,Al Rayyan,18838,False,Pearl,Fabulous views, Solo,"Amazing views with loads of restaurants, high end boutiques and mini marts, child friendly and a wonderful walking path, was fabulously well kept, clean and accessible for all",,6
1009,9,MXS52ZHJT,Steven Murphy,,341-726-5787,************3639,24,Private,Never-married,Other-service,Some-college,982 Reed Hills,29011,Female,Air,2020-01-06,2020,Jan,<=50K,Africa,Hiking,Credit Card,Chinese,Spring,Occasional,Basic,300,500,200,Bus,Doha Tour,Suite,Mid-Range,Umm Salal Mohammed,27255,True,Pearl,Nice but donâ€™t make a special trip to see., Couples,A nice place to stroll around and lots of places to eat. We were there on a Friday morning and most everything was closed because of the faith in this country. We did have breakfast at Paulâ€™s and enjoyed our walk. I would not make a special trip out there. Itâ€™s a long way from town and expensive shopping is the main attraction.,,1
1010,10,R9PEY2WR4,Michael Moore,MichaelMoore81@outlook.com,,************9190,55,Private,Married-civ-spouse,Craft-repair,7th-8th,10319 Tara Oval,12753,Male,Air,2020-01-16,2020,Jan,<=50K,Africa,Photography,Bank Transfer,Italian,Autumn,Rare,Standard,700,1000,300,Metro,Doha Tour,Double,Mid-Range,Al Khor,24571,False,Pearl,Doha Stopover, Solo,"On my way back to London through Qatar, I did a stopover for 3 days.I enjoyed it very much and I am glad i did the stop.It was a weekend Friday and Saturday mainly, the locals started going out in the afternoon and it got really busy evenings.I did Souq Waqif, Katara Village, Pearl Island, Corniche, harbor, and Mia Park. they have nice museums too. The city is clean and the weather in November is pleasant.All deserve to be visited. I ate in Souk Wakif twice. 1 popular place for kebabs and the second was Persian.I recommend to anyone to pay a visit.",,1
